Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-05 05:00:00,4,80,64.1,29.87,0
2016-01-05 06:00:00,4.69,79.55,62.55,29.89,2.73
2016-01-05 07:00:00,22.31,80,57.1,29.92,83.1
2016-01-05 08:00:00,38.31,82.33,52.89,29.94,269.11
2016-01-05 09:00:00,49.25,85.09,48.91,29.95,435
2016-01-05 10:00:00,60.31,87,45.7,29.94,571.6
2016-01-05 11:00:00,66.75,88.2,43.2,29.92,667.1
2016-01-05 12:00:00,65.62,89.82,39.91,29.88,696.55
2016-01-05 13:00:00,61.06,91.7,38.9,29.84,649.6
2016-01-05 14:00:00,47.06,92.7,37.5,29.81,555.5
2016-01-05 15:00:00,32.81,93.09,37.55,29.79,403.27
2016-01-05 16:00:00,37.69,93.3,37.1,29.79,225.5
2016-01-05 17:00:00,31.62,92.5,37.9,29.8,56.1
2016-01-05 18:00:00,27.75,89.9,41.3,29.82,0.5
2016-01-05 19:00:00,10.56,88,46,29.85,0
2016-01-05 20:00:00,7.88,86.36,52.91,29.87,0
2016-01-05 21:00:00,6.94,84.4,61,29.89,0
2016-01-05 22:00:00,6.56,83.45,66.09,29.89,0
2016-01-05 23:00:00,9.12,83,67.3,29.89,0
2016-01-06 00:00:00,7.19,82,71.5,29.87,0
2016-01-06 01:00:00,6.44,81.36,75.82,29.86,0
2016-01-06 02:00:00,6.06,81,79.1,29.85,0
2016-01-06 03:00:00,5.62,80,81.3,29.85,0
2016-01-06 04:00:00,7.56,79.9,83.6,29.86,0
2016-01-06 05:00:00,5.56,79,84.8,29.88,0
2016-01-06 06:00:00,5.62,78.5,79.6,29.9,2.7
2016-01-06 07:00:00,14.31,78,79.73,29.92,48.91
2016-01-06 08:00:00,26.62,80.3,75.7,29.94,219.5
2016-01-06 09:00:00,27.19,84.64,71.64,29.96,409.27
2016-01-06 10:00:00,33.94,86.1,69.1,29.94,584.1
2016-01-06 11:00:00,39.81,89.91,59.18,29.92,574.36
2016-01-06 12:00:00,39.12,90.1,55,29.9,441.2
