,Floor1Sum,Floor2Sum,Floor3Sum,Floor4Sum,Floor5Sum,Floor6Sum,Floor7Sum
7/3/18 7:00,6.666333333,40.57666667,40.34316667,32.37366667,27.59212429,46.99303672,40.30033333
7/3/18 8:00,6.423333333,94.91666667,112.508,99.559,100.8172759,98.06566667,120.046
7/3/18 9:00,6.406333333,86.90516667,91.34283333,84.44666667,100.222,94.10011299,108.3936667
7/3/18 10:00,4.932333333,86.84383333,83.7625,81.00433616,93.87733333,87.81266667,102.4231667
7/3/18 11:00,5.447333333,88.77583333,46.018,64.8135,70.889,65.02182716,69.93933333
7/3/18 12:00,4.224666667,88.43333333,21.46633333,15.80221469,18.4765,27.68111494,15.93233333
7/3/18 13:00,4.590166667,84.02466667,91.60566667,98.50283333,102.9348333,100.8237147,117.7448333
7/3/18 14:00,4.7025,91.51566667,93.5015,83.34366667,82.39937719,74.85858046,112.9631667
7/3/18 15:00,5.817166667,84.4175,84.54683333,78.0264324,76.75083333,80.5345,105.1736667
7/3/18 16:00,6.170333333,79.7825,52.07816667,50.69994247,51.43877673,43.32091808,91.777
7/3/18 17:00,7.23,41.76233333,19.612,13.64724859,17.98759649,16.25725439,51.46066667
7/3/18 18:00,12.17083333,30.89133333,17.72683333,10.09128141,16.133,13.55003916,70.20383333
7/3/18 19:00,12.88170904,35.92966667,6.2925,6.866149718,15.1745,12.19866423,62.495
7/3/18 20:00,13.44033333,5.959166667,0.923166667,5.028333333,1.255833333,7.8085,9.119
7/3/18 21:00,9.545,4.158,0.9525,4.219859147,0.955149425,1.162601213,1.457
7/3/18 22:00,8.744833333,4.149333333,0.6865,1.2575,0.983884181,0.751333333,0.4715
7/3/18 23:00,8.409166667,7.440666667,0.604833333,1.2335,0.940666667,0.717833333,0.465666667
7/4/18 0:00,8.43108046,7.767166667,0.652,1.213239031,0.913,0.77476992,0.432
7/4/18 1:00,8.339661017,7.810333333,0.672333333,1.21130791,0.972293103,0.694192982,0.439
7/4/18 2:00,8.473666667,7.889,0.723666667,1.220166667,0.922214689,0.786,0.498
7/4/18 3:00,8.53319774,7.986333333,0.619666667,1.223666667,0.867408046,0.735033898,0.4325
7/4/18 4:00,9.21329096,7.855333333,0.654833333,1.148822034,0.8345,1.859785311,0.571
7/4/18 5:00,9.0575,5.404166667,0.6335,4.1402022,1.952994253,2.477691409,2.416666667
7/4/18 6:00,5.391666667,11.2815,11.0665,8.438112994,9.142220339,7.649820713,10.942
7/4/18 7:00,6.439833333,40.61333333,41.20016667,33.73933333,34.54884181,47.49791398,41.39483333
7/4/18 8:00,8.4935,94.99666667,106.8843333,96.60952839,106.5513814,92.19747115,115.6673333
7/4/18 9:00,6.451338983,66.28216667,82.67066667,84.58533333,92.54874713,83.35375424,102.0151667
7/4/18 10:00,4.837,86.683,83.60033333,80.08432661,84.32566667,78.00563793,99.25366667
7/4/18 11:00,4.722426554,83.3195,50.987,63.79583333,61.61371839,58.17166667,67.9125
7/4/18 12:00,6.472115819,85.54116667,22.38316667,14.62483333,18.23524713,27.70405172,16.48583333
7/4/18 13:00,5.461333333,82.1295,109.7395,94.95433333,106.6845,98.94833333,117.2376667
7/4/18 14:00,4.841615819,86.762,81.4725,76.09950282,78.4595,67.83188418,106.4486667
7/4/18 15:00,4.410443503,87.99666667,80.19416667,81.02316667,78.82645402,77.56299844,104.3765
7/4/18 16:00,4.573833333,84.5205,50.048,52.72421194,45.6215,37.11633333,90.804
7/4/18 17:00,6.2925,44.64766667,19.34433333,14.05421779,17.52883333,18.53416667,12.51266667
7/4/18 18:00,8.8015,45.757,17.70683333,11.8524548,16.27692373,14.55348023,12.198
7/4/18 19:00,9.544,34.03016667,14.439,9.8125,15.104,8.72880226,8.849666667
7/4/18 20:00,10.75515537,8.668333333,0.721166667,4.958211864,1.285666667,1.826725851,5.647333333
7/4/18 21:00,10.63866667,7.077333333,0.744166667,2.057166667,0.812254237,0.789833333,0.748666667
7/4/18 22:00,8.72912069,7.071333333,0.719333333,1.048975161,0.946954802,0.740155172,0.430833333
7/4/18 23:00,7.782166667,7.022333333,0.609,1.148356322,0.857672414,0.763067797,0.459
7/5/18 0:00,7.767333333,7.746166667,0.6595,1.117333333,0.828333333,0.847313559,0.421166667
7/5/18 1:00,7.6005,8.033,0.689,1.077943503,0.801166667,0.855629625,0.391666667
7/5/18 2:00,7.657929379,7.8995,0.733333333,1.0175,0.866666667,0.680163939,0.470166667
7/5/18 3:00,7.4835,7.837166667,0.692333333,1.081833333,0.799,0.803924408,0.416166667
7/5/18 4:00,8.126242938,7.815333333,0.631,1.055087422,0.8025,1.737408646,0.501666667
7/5/18 5:00,7.954333333,9.289,1.323,4.891881937,2.744666667,2.4905,2.1445
7/5/18 6:00,6.473974576,13.5,8.921833333,7.152,4.889333333,8.448833333,10.97833333
7/5/18 7:00,4.2055,44.676,40.98,34.13216667,31.54879885,48.2265678,40.86816667
7/5/18 8:00,3.736166667,97.9325,105.5373333,95.85712147,109.8280057,94.30234181,116.7691667
7/5/18 9:00,4.082663842,89.54966667,83.73583333,79.24183333,92.16,84.907606,107.5996667
7/5/18 10:00,4.696333333,94.63216667,86.04816667,80.70264613,84.7205,76.15454763,103.353
7/5/18 11:00,4.716333333,86.43833333,50.08933333,65.23351734,67.26296298,59.55521264,71.22216667
7/5/18 12:00,4.2875,88.27933333,21.71816667,15.44908757,18.08233333,29.87523125,16.39716667
7/5/18 13:00,5.421853107,92.05833333,108.2058333,91.3555,99.914,96.42309322,118.7365
7/5/18 14:00,5.286166667,92.244,80.69816667,80.96533333,71.24583333,64.12911688,107.1588333
7/5/18 15:00,4.587333333,87.74516667,82.86966667,80.45597516,82.32783333,80.47197701,111.6718333
7/5/18 16:00,5.943,82.53866667,50.8675,49.60116384,45.52583333,39.30826948,87.02616667
7/5/18 17:00,7.42,40.62766667,18.56433333,14.79344426,17.8989881,18.91266667,34.56466667
7/5/18 18:00,9.198166667,33.63216667,17.23433333,10.73624011,15.96933333,15.69464859,81.56216667
7/5/18 19:00,9.304833333,29.23816667,13.06233333,7.965392266,9.1645,12.9781092,81.48433333
7/5/18 20:00,9.9795,9.876333333,1.215333333,4.369467327,0.958908046,7.994423924,22.21183333
7/5/18 21:00,10.002,4.71,0.706833333,3.285166667,0.953218391,7.744514124,2.399666667
7/5/18 22:00,12.02849718,4.63,0.647666667,2.894335866,0.952333333,5.589096045,0.7795
7/5/18 23:00,10.111,4.759333333,0.6035,1.147768362,0.885,2.67670904,0.692666667
7/6/18 0:00,9.339,7.7855,0.641,1.075050847,0.804245614,0.820833333,0.599
7/6/18 1:00,9.364333333,7.3055,0.674666667,1.099785311,0.811666667,0.791717514,0.712166667
7/6/18 2:00,9.329833333,7.601833333,0.615,1.098680791,0.963166667,0.727347819,0.643
7/6/18 3:00,9.147036723,7.408166667,0.6215,1.054,0.883935028,0.770886942,0.641666667
7/6/18 4:00,9.967166667,7.215833333,0.57,1.086799435,0.872686441,1.946260535,0.962166667
7/6/18 5:00,9.897231638,6.8995,0.7325,2.384166667,2.207833333,2.822220339,2.196166667
7/6/18 6:00,8.427,10.43733333,8.522166667,7.873949153,6.972508772,8.705048023,11.67816667
7/6/18 7:00,5.7965,39.57366667,41.884,33.15777119,31.675,47.65866667,40.706
7/6/18 8:00,4.9095,96.3145,98.97583333,84.00422994,100.4261667,90.06267797,114.1681667
7/6/18 9:00,3.615333333,90.20083333,86.955,81.91483333,88.13601754,72.81361299,107.2728333
7/6/18 10:00,4.794666667,92.73483333,85.36,79.4265,78.5465,75.73131638,105.4345
7/6/18 11:00,4.780666667,84.685,47.714,64.713,65.3105,56.009,74.43833333
7/6/18 12:00,3.671,84.45383333,21.03816667,18.88122316,19.18822989,28.9195,17.103
7/6/18 13:00,3.986355932,89.14566667,101.0901667,91.56983333,89.11974138,96.37018079,115.2223333
7/6/18 14:00,4.720833333,89.8975,81.0645,80.55775096,80.45482759,63.79487121,106.6683333
7/6/18 15:00,4.731333333,85.43516667,77.20716667,78.65429359,73.70933333,68.66585593,103.4056667
7/6/18 16:00,6.941833333,77.62466667,49.42416667,48.79008475,44.24474074,39.82068586,91.987
7/6/18 17:00,8.1695,67.48366667,18.71866667,14.62894068,17.61566667,18.14093503,80.4525
7/6/18 18:00,16.36196893,68.986,16.35233333,12.71830508,15.31333333,15.5737037,72.2875
7/6/18 19:00,16.55,63.75916667,13.8745,9.690362069,13.09460452,9.691988506,30.06983333
7/6/18 20:00,16.7115,11.318,1.694166667,5.714149718,4.021202381,3.494660725,9.778
7/6/18 21:00,15.90866667,4.3635,0.590666667,2.960833333,1.847166667,1.109833333,1.891166667
7/6/18 22:00,13.24883333,4.197666667,0.655666667,1.079011299,1.7345,0.783833333,0.44
7/6/18 23:00,12.02566667,4.4975,0.601333333,0.944857004,1.735034483,0.75977193,0.498333333
7/7/18 0:00,10.28920904,8.049666667,0.5555,1.097833333,1.831333333,0.823814862,0.418666667
7/7/18 1:00,10.2035,7.8605,0.637666667,0.998618352,1.855910774,0.784644068,0.452833333
7/7/18 2:00,10.12175141,7.267833333,0.651,1.103240113,1.781,0.6645,0.384
7/7/18 3:00,10.16166667,7.339833333,0.580833333,0.980333333,1.703333333,0.6685,0.417666667
7/7/18 4:00,10.78866667,7.546166667,0.556333333,1.046833333,1.764666667,0.741387006,0.4615
7/7/18 5:00,10.62433333,6.460166667,0.580833333,0.992340834,1.867666667,0.6955,0.413166667
7/7/18 6:00,8.015333333,4.079833333,0.578166667,1.063022989,1.807333333,0.671387006,0.3845
7/7/18 7:00,7.919,23.41566667,0.757333333,18.68233333,2.2345,0.68357684,9.317833333
7/7/18 8:00,6.105666667,82.3405,3.712166667,37.92004305,4.840333333,0.703666667,25.86383333
7/7/18 9:00,6.127666667,68.87733333,4.294333333,24.62904237,5.454333333,1.132166667,47.536
7/7/18 10:00,6.2225,72.693,5.3885,25.32054695,6.202149425,6.873316384,52.56583333
7/7/18 11:00,5.916833333,72.6895,3.063666667,20.33766667,9.490833333,5.282666667,51.70366667
7/7/18 12:00,5.9095,68.88866667,1.853666667,5.2945,6.957,4.738630266,52.10516667
7/7/18 13:00,6.617166667,69.369,1.877166667,26.98976953,5.207333333,4.588850282,52.22133333
7/7/18 14:00,5.8045,67.906,2.851166667,25.424,5.820833333,4.635,51.24366667
7/7/18 15:00,5.702666667,71.30333333,5.507666667,25.35133333,3.587333333,6.4075,41.27316667
7/7/18 16:00,6.2985,52.037,1.211333333,15.28866667,2.128833333,4.57120339,41.4345
7/7/18 17:00,6.503,8.117,0.703833333,2.194238457,0.795299435,10.31328213,26.47966667
7/7/18 18:00,9.058166667,4.757166667,0.5735,1.069168928,0.870833333,9.539231638,5.755333333
7/7/18 19:00,9.472666667,4.533666667,0.5485,1.026666667,0.806166667,5.722248588,5.794833333
7/7/18 20:00,10.13566667,4.360166667,0.591666667,0.974,0.754563218,1.44071558,2.811833333
7/7/18 21:00,10.09183333,4.370333333,0.651333333,0.995827684,0.757333333,0.78922807,1.004
7/7/18 22:00,9.5955,4.304833333,0.576833333,0.975214689,0.824,0.859833333,0.903333333
7/7/18 23:00,8.285245763,4.6245,0.593833333,0.969166667,0.752,0.707036723,0.921
7/8/18 0:00,8.4335,7.894833333,0.606166667,0.995833333,0.799333333,0.670338983,0.914833333
7/8/18 1:00,8.128333333,7.507833333,0.547166667,1.006694915,0.773931034,0.813592593,0.957333333
7/8/18 2:00,8.053333333,7.336333333,0.5795,0.956926554,0.760482759,0.675666667,0.880166667
7/8/18 3:00,8.122516949,7.336333333,0.585,1.069149718,0.754833333,0.681268362,0.917
7/8/18 4:00,8.7095,7.4145,0.690333333,0.9815,0.753166667,0.800922454,0.9245
7/8/18 5:00,8.285666667,6.709833333,0.536833333,1.177011299,0.824333333,0.761601695,0.953333333
7/8/18 6:00,6.457166667,4.125833333,0.58,2.873276836,0.800074713,0.715333333,0.877833333
7/8/18 7:00,5.663463277,4.129833333,0.576666667,3.006728619,0.790166667,0.706551724,0.494833333
7/8/18 8:00,5.419333333,4.205166667,0.514666667,1.978689266,0.733166667,0.768,2.2725
7/8/18 9:00,5.465,4.240833333,0.577833333,1.072495617,0.759166667,4.722267583,3.758
7/8/18 10:00,5.605666667,4.3785,0.606833333,1.030166667,0.794333333,8.365666667,5.312166667
7/8/18 11:00,5.657166667,4.552333333,0.603833333,2.297991525,0.831333333,9.204442529,5.448
7/8/18 12:00,5.639666667,9.217166667,0.866166667,2.288437853,0.7835,9.106833333,5.451166667
7/8/18 13:00,5.645166667,9.157166667,0.591,2.546333333,0.744666667,9.237364434,5.2365
7/8/18 14:00,5.653666667,9.268166667,0.576333333,2.748336158,0.775643678,8.750315143,5.433833333
7/8/18 15:00,5.732333333,9.1055,0.5105,3.677,0.734666667,8.853473072,5.492333333
7/8/18 16:00,8.1015,9.069166667,0.5795,3.075711864,0.785833333,8.781333333,4.443
7/8/18 17:00,8.398166667,8.792666667,0.706,1.783867232,0.805333333,8.797144068,3.743166667
7/8/18 18:00,10.05383333,5.366666667,0.560833333,1.039949153,0.795464286,8.841341516,0.462166667
7/8/18 19:00,10.57933333,4.879,0.6335,0.99810452,0.842333333,8.029725209,0.3965
7/8/18 20:00,10.56383333,4.880333333,0.777333333,1.0345,0.821666667,7.681381356,0.411833333
7/8/18 21:00,8.337,4.678166667,0.760666667,1.013607929,0.749,7.180884181,0.459333333
7/8/18 22:00,8.612926554,4.811,0.6665,1.031,0.746833333,0.881333333,0.428166667
7/8/18 23:00,7.97359322,4.895333333,0.612666667,1.001073446,0.840333333,0.788723164,0.3665
7/9/18 0:00,7.722666667,7.910333333,0.6425,1.032940678,0.755333333,0.6335,0.419333333
7/9/18 1:00,7.747867232,7.515833333,0.579666667,1.044666667,0.809245763,0.771025424,0.477166667
7/9/18 2:00,7.652166667,7.502166667,0.545833333,0.9475,0.8125,0.742166667,0.411166667
7/9/18 3:00,7.771420904,7.385666667,0.638166667,0.99770339,0.803045977,0.66782225,0.412666667
7/9/18 4:00,8.820666667,7.868166667,0.597333333,0.963166667,0.7025,1.828063218,0.436
7/9/18 5:00,8.854,6.939333333,0.586166667,4.801502825,1.535833333,2.565982759,1.522833333
7/9/18 6:00,7.4455,8.315666667,11.399,7.207056497,10.05916667,7.892578947,11.835
7/9/18 7:00,5.4825,39.02916667,40.69483333,33.28538701,36.8465303,46.93648276,43.19
7/9/18 8:00,5.681166667,98.1515,118.961,106.4029635,104.204,112.9959435,124.2778333
7/9/18 9:00,6.051166667,98.7755,98.90116667,90.27976437,96.5105,97.87461494,118.097
7/9/18 10:00,6.520556497,98.23783333,94.08733333,86.94688983,94.17021264,96.04757556,113.239
7/9/18 11:00,5.741333333,93.765,59.229,68.59,73.86783333,70.916,75.04016667
7/9/18 12:00,4.619214689,92.97783333,21.82516667,15.50331931,18.42833333,29.637,14.91966667
7/9/18 13:00,5.120166667,92.16216667,111.2963333,97.79025441,107.5625,109.0285,117.042
7/9/18 14:00,6.468666667,92.596,93.441,88.85138405,92.46566667,85.525,111.5623333
7/9/18 15:00,5.462833333,90.66816667,90.00833333,82.27883333,88.20906322,69.3885,110.4786667
7/9/18 16:00,8.13,85.716,52.44433333,50.21366384,47.80568966,41.908,100.0388333
7/9/18 17:00,9.159666667,69.97883333,18.00116667,13.28981356,20.46102381,16.07662644,37.25233333
7/9/18 18:00,9.196850282,67.3405,15.90716667,12.04413793,15.40798851,11.11653672,36.8925
7/9/18 19:00,9.130666667,62.2525,9.164,9.175302942,11.078,10.3807069,33.84866667
7/9/18 20:00,9.492333333,7.991833333,0.6495,6.850655367,3.012,10.4935,4.9635
7/9/18 21:00,8.218333333,4.147166667,0.605333333,2.318333333,0.882833333,3.124460452,0.475
7/9/18 22:00,7.133,4.099833333,0.614833333,1.149683908,0.938,0.785833333,0.388166667
7/9/18 23:00,6.4935,4.488166667,0.604,1.0395,0.905666667,0.703988701,0.417833333
7/10/18 0:00,6.5475,7.927166667,0.607,1.169666667,0.8235,0.947568966,0.460666667
7/10/18 1:00,6.455,7.985166667,0.651166667,1.006666667,0.819833333,0.889166667,0.441333333
7/10/18 2:00,6.424833333,7.734,0.555833333,1.077166667,0.808333333,0.751861582,0.406
7/10/18 3:00,6.423833333,7.889,0.601,1.1475,0.87358046,0.878558163,0.535
7/10/18 4:00,7.513568966,7.8355,0.616333333,1.022333333,0.847666667,1.831706215,0.626666667
7/10/18 5:00,5.462,6.790333333,0.613833333,2.831078317,2.204559524,3.879333333,2.814166667
7/10/18 6:00,5.548,10.2985,10.26683333,7.639087863,8.624789474,10.84933333,10.41933333
7/10/18 7:00,5.540166667,38.60016667,39.70166667,31.47512994,34.51716667,45.55400847,41.407
7/10/18 8:00,4.887833333,95.308,98.15516667,85.16469024,90.30358046,78.35383333,117.0095
7/10/18 9:00,8.141833333,85.97066667,86.61016667,81.34833333,83.95,75.92766667,106.111
7/10/18 10:00,7.806666667,88.09833333,85.32666667,80.14618362,85.21020115,73.5695,100.7875
7/10/18 11:00,7.792,87.84033333,48.39483333,65.62968644,69.00319048,56.32841379,69.20066667
7/10/18 12:00,6.225333333,87.0585113,20.44716667,18.60155903,19.036,26.93127586,17.5025
7/10/18 13:00,6.144666667,86.29041228,105.0753333,96.26633333,97.59233333,94.00597789,122.1875
7/10/18 14:00,7.074,89.009,87.40766667,83.63420534,85.20381818,75.121,110.2831667
7/10/18 15:00,6.907161017,83.59966667,82.77,82.42666667,79.72754762,75.67181687,112.007
7/10/18 16:00,7.3645,80.92583333,48.65483333,47.93841243,48.80243103,43.94961915,90.32316667
7/10/18 17:00,7.614833333,71.51783333,19.10783333,15.30661816,19.23412644,18.04082486,37.06483333
7/10/18 18:00,9.725666667,68.59,13.45583333,12.32610491,15.73066667,14.30033333,47.13166667
7/10/18 19:00,10.32266667,66.00451724,11.24466667,9.711,11.19583333,13.67131073,47.14783333
7/10/18 20:00,10.45666667,7.566166667,0.813,6.094142217,0.900785714,10.01269209,5.350833333
7/10/18 21:00,9.119333333,4.340229885,0.61,2.474550586,1.016666667,3.766333333,1.855333333
7/10/18 22:00,7.473666667,4.197833333,0.5905,1.099,0.871321839,1.639744594,0.618666667
7/10/18 23:00,6.970833333,4.272666667,0.619,1.113560698,0.747201149,0.789166667,0.485666667
7/11/18 0:00,6.739757062,7.701833333,0.602333333,1.13619774,0.781738095,0.73,0.430166667
7/11/18 1:00,6.704833333,7.638333333,0.590333333,1.022257682,0.898603448,0.719951783,0.417
