month,day,hh,load,Temp
1,10,8,5.3125,81
1,10,9,2.4375,80
1,10,10,2.75,81
1,10,11,1.5625,82
1,10,12,1.6875,84
1,10,13,0.1875,86
1,10,14,0,89
1,10,15,0,89
1,10,16,7.750000002,91
1,10,17,9.1875,90
1,10,18,9.625000002,91
1,10,19,10.125,89
1,10,20,8.500000002,85
1,10,21,10.6875,84
1,10,22,8.687500002,83
1,10,23,8.8125,83
1,11,0,8.25,83
1,11,1,6.124999998,83
1,11,2,8.125000002,82
1,11,3,5.9375,82
1,11,4,6.437500002,82
1,11,5,5.875,81
1,11,6,6.250000002,81
1,11,7,23.375,81
1,11,8,23.5,78
1,11,9,32.125,78
1,11,10,36.75,79
1,11,11,35.625,81
1,11,12,32.8125,83
1,11,13,39.1875,84
1,11,14,38.4375,86
1,11,15,37.9375,90
1,11,16,33.125,89
1,11,17,30.5,90
1,11,18,19.625,91
1,11,19,11.875,90
1,11,20,10.5,89
1,11,21,8.500000002,85
1,11,22,7.249999998,83
1,11,23,6.625000002,83
1,12,0,6.375,83
1,12,1,6.1875,82
1,12,2,5.3125,82
1,12,3,7.875,81
1,12,4,5.375,81
1,12,5,5.1875,80
1,12,6,8.4375,80
1,12,7,21.5,80
1,12,8,21.875,79
1,12,9,27.875,78
1,12,10,36.4375,79
1,12,11,33.3125,82
1,12,12,32.875,84
1,12,13,33.625,84
1,12,14,30.25,82
1,12,15,37.75,89
1,12,16,40.125,89
1,12,17,28.25,88
1,12,18,17.625,89
1,12,19,12.3125,89
1,12,20,10.25,87
1,12,21,7.187500002,86
1,12,22,5.8125,85
1,12,23,5.4375,84
1,13,0,5.75,83
1,13,1,5.625,82
1,13,2,6.250000002,81
1,13,3,4.875,81
1,13,4,5,81
1,13,5,5.125,80
1,13,6,6,80
1,13,7,28.75,79
1,13,8,22.125,79
1,13,9,35,79
1,13,10,42.8125,81
1,13,11,48.5625,83
1,13,12,48.375,84
1,13,13,46.875,85
1,13,14,42.25,87
1,13,15,42.625,87
1,13,16,49.125,89
1,13,17,31.5,91
1,13,18,17.4375,91
1,13,19,13.8125,88
1,13,20,10.25,86
1,13,21,5.875,85
1,13,22,5.5,84
1,13,23,5.5,83
1,14,0,5.5,82
1,14,1,6.124999998,82
1,14,2,5.8125,82
1,14,3,5.0625,82
1,14,4,5.0625,81
1,14,5,5.25,81
1,14,6,6.812500002,81
1,14,7,13.625,81
1,14,8,24,81
1,14,9,29.75,81
1,14,10,40.375,81
1,14,11,42.125,84
1,14,12,44.125,83
1,14,13,48.9375,88
1,14,14,47.8125,90
1,14,15,44.4375,90
1,14,16,50.1875,91
1,14,17,49.75,91
1,14,18,25.75,91
1,14,19,17.25,90
1,14,20,9.75,87
1,14,21,8.25,85
1,14,22,7.000000002,84
1,14,23,6.5625,84
1,15,0,7.062499998,84
1,15,1,6.375,83
1,15,2,8.125000002,83
1,15,3,6.499999998,83
1,15,4,5.75,82
1,15,5,6.124999998,82
1,15,6,7.249999998,82
1,15,7,14.4375,82
1,15,8,24.32142857,82
1,15,9,0,81
1,15,10,63.9030612,83
